employee_id,name,age,gender,department,job_role,education,city,experience_years,salary,joining_date,performance_rating,projects_completed,work_from_home,monthly_hours,left_company
1181,Arjun,43,male,FINANCE,Business Analyst,MBA,noida,20,117071,19-05-2023,Average,11,Y,,No 
1155,Nisha,54,male,it,Software Engineer,B.Sc,Delhi ,7,73099,03-03-2022,Good,2,N,194,yes
1112,Rohit,33,Male,FINANCE,Software Engineer,bca,Noida,4,54035,02-03-2020,Average,0,N,157,Yes
1248,Karan,40,male, sales ,Data Scientist,B.Sc,Delhi ,12,110601,01-07-2026,Good,8,Yes,140,Yes
1061,Nisha,42,M,HR,Data Analyst,MBA,Ghaziabad,16,143703,17-10-2017,Good,2,Y,211,Yes
1010,Priya,21,F,it,Business Analyst,BCA,Bulandshahr,19,128641,03-06-2015,excellent,7,Yes,232,Yes
1120,Rahul,43,F,FINANCE,Software Engineer,MCA ,noida,9,43169,16-07-2020,excellent,10,N,186,No 
1158,Simran,21,Male,Marketing,Data Scientist,MCA,Delhi ,16,135407,23-04-2022,Poor,8,Yes,122,No 
1168,Ankit,49,M,Marketing,Business Analyst,MCA ,Delhi ,20,115359,10-10-2022, Good ,12,yes,243,No
1034,Arjun,44,M,Marketing,Sales Executive,B.Sc,Bulandshahr,12,83108,15-07-2016,Good,7,yes,232,Yes
1006,Arjun,,M,HR,Data Analyst,MBA,Bulandshahr,6,49401,27-03-2015,Excellent,12,yes,188,No 
1102,Nisha,22,Male,it,Sales Executive,MCA ,Ghaziabad,19,137264,14-09-2019, Good ,2, no ,167,No
1046,Priya,unknown,Male,it,Software Engineer,bca,Delhi,13,30323,04-02-2017,Excellent,9,No,172,yes
1177,Priya,46,Female,Marketing,Business Analyst,MBA,Delhi ,8,75009,12-03-2023,Good,8,yes,174,No
1119,Arjun,32,M,Marketing,Sales Executive,MCA,Delhi ,11,116864,29-06-2020, Good ,15, no ,212,Yes
1047,Nisha,36,Male, sales ,HR Executive,MCA ,Delhi ,13,129335,21-02-2017,Good,11,Yes,242,No 
1126,Nisha,43,male,IT,Data Scientist,MCA ,Ghaziabad,17,49750,26-10-2020,Poor,5,Yes,154,yes
1194,Priya,36,M,IT,Business Analyst,MCA ,Noida,17,42022,26-12-2023, Good ,4,Y,129,No 
1241,Pooja,32,Female,Sales,Business Analyst,MCA ,noida,10,101588,04-03-2026,Average,6,No,220,No 
1144,Rohit,39,F,Marketing,Business Analyst,bca,Bulandshahr,5,41429,28-08-2021,Excellent,3,yes,247,No
1230,Sneha,41,Female,Marketing,Data Scientist,B.Tech,noida,5,74492,29-08-2025,Poor,7, no ,226,yes
1272,Amit,25,Female,Sales,HR Executive,MBA,Ghaziabad,7,113457,13-08-2027,Poor,0, no ,126,No 
1245,Rahul,55,F,it,HR Executive,B.Tech,Ghaziabad,17,66355,11-05-2026,Poor,2, no ,136,Yes
1026,Pooja,29,F,Sales,Data Analyst,BCA,Noida,3,58390,01-03-2016,Average,3, no ,241,No 
1148,Rahul,46, female ,HR,Data Scientist,BCA,Delhi,1,49822,04-11-2021,Poor,14,No,223,Yes
1222,Riya,30,M,it,Business Analyst,BCA,noida,1,21631,15-04-2025, Good ,2,Y,207,No 
1256,Vikas,29,M,FINANCE,Sales Executive,B.Sc,Ghaziabad,10,127787,14-11-2026,excellent,4,Yes,160,No 
1074,Arjun,24,male,it,Data Analyst,MBA,noida,2,28526,26-05-2018, Good ,7, no ,124,No 
1233,Riya,44,M, sales ,Software Engineer,BCA,Meerut,4,81936,19-10-2025,Good,14,N,170,No
1110,Sneha,45,male,it,Data Scientist,MCA,Delhi ,2,56067,28-01-2020, Good ,0,Yes,191,Yes
1141,Rohit,36,M,Finance,Data Scientist,BCA,Ghaziabad,20,49055,08-07-2021,Poor,13,N,156,No
1287,Neha,25,M,Finance,Data Analyst,MBA,Bulandshahr,6,95794,24-04-2028,Excellent,13,No,173,No
1210,Riya,49,male,Sales,Sales Executive,MBA,Noida,0,146563,23-09-2024,Poor,8,Yes,201,Yes
1043,Riya,38, female ,Sales,HR Executive,bca,Ghaziabad,15,94329,15-12-2016,Good,12,yes,168,Yes
1018,Sneha,27,M,HR,Business Analyst,MBA,Ghaziabad,8,35633,17-10-2015,Average,ten,Yes,123,yes
1282,Simran,27,Female, sales ,Data Scientist,MBA,Delhi ,6,94971,30-01-2028,Good,5,Yes,140,Yes
1077,Riya,48,Male, sales ,Business Analyst,B.Tech,Delhi ,9,46982,16-07-2018,Good,7,No,183,Yes
1091,Amit,23,M,IT,Data Scientist,B.Sc,Ghaziabad,14,139237,11-03-2019,Good,13,yes,167,Yes
1025,Riya,52,Male,HR,Data Analyst,bca,Delhi,1,110578,13-02-2016,Excellent,4,Y,149,No
1058,Amit,53,F,FINANCE,Sales Executive,bca,Ghaziabad,1,82315,27-08-2017, Good ,0,yes,222,No 
1093,Nisha,45,Female,IT,Business Analyst,MCA,noida,11,109878,14-04-2019, Good ,1, no ,171,Yes
1078,Rahul,,Male,Sales,Sales Executive,MCA ,Delhi,9,18207,02-08-2018,Poor,7,Yes,210,Yes
1214,Nisha,22,male,HR,Data Analyst,MCA ,Noida,11,46380,30-11-2024,Good,5,Yes,224,yes
1117,Rohit,36,male,Finance,Sales Executive,MCA,Delhi,18,28382,26-05-2020, Good ,15,Yes,233,yes
1008,Ankit,twenty five,Female,Finance,Software Engineer,BCA,noida,16,145834,30-04-2015,Poor,5,No,184,Yes
1290,Pooja,28,Male,FINANCE,Software Engineer,BCA,Ghaziabad,9,138029,14-06-2028, Good ,13, no ,166,No
1284,Pooja,29,male,HR,Data Analyst,MCA,Bulandshahr,9,82946,04-03-2028,Excellent,3, no ,176,No 
1079,Neha,49,M,FINANCE,Data Scientist,MCA ,Bulandshahr,11,106733,19-08-2018,excellent,11,Y,236,No
1295,Simran,45, female , sales ,Data Scientist,B.Tech,Delhi ,0,143588,07-09-2028,excellent,0,yes,221,yes
1234,Vikas,55,F,IT,Data Scientist,MCA ,Bulandshahr,1,78920,05-11-2025,Good,6,yes,202,No
1254,Priya,39,F, sales ,HR Executive,BCA,noida,14,96815,11-10-2026,excellent,2,Yes,222,Yes
1257,Rahul,27,Male,Marketing,Data Analyst,bca,Ghaziabad,18,79063,01-12-2026,Average,4,N,218,Yes
1064,Karan,47, female ,Sales,HR Executive,B.Tech,noida,4,63113,07-12-2017,Excellent,3, no ,230,No 
1083,Amit,49,M,Finance,Business Analyst,BCA,Bulandshahr,19,99437,26-10-2018, Good ,4,N,166,yes
1286,Vikas,22,Male,Sales,Data Analyst,B.Sc,noida,12,102080,07-04-2028,Excellent,7,Yes,237,Yes
1240,Simran,52, female ,Marketing,Software Engineer,MCA,Noida,14,119015,15-02-2026,Excellent,7,N,132,No
1219,Rahul,28,male,Marketing,Sales Executive,B.Sc,noida,13,21191,23-02-2025,Poor,13,No,215,No
1105,Sneha,53,male,Finance,Business Analyst,B.Tech,Bulandshahr,1,53585,04-11-2019,Good,10,N,235,yes
1061,Nisha,42,M,HR,Data Analyst,MBA,Ghaziabad,16,143703,17-10-2017,Good,2,Y,211,Yes
1195,Pooja,22, female ,IT,Business Analyst,BCA,Ghaziabad,12,124297,12-01-2024,Good,11,Yes,173,No
1186,Ankit,30,F,FINANCE,HR Executive,BCA,Noida,1,49174,12-08-2023,Excellent,1,No,138,Yes
1280,Simran,30,M,it,Software Engineer,MCA,Meerut,3,123432,27-12-2027,Good,7,No,184,yes
1212,Karan,32,male,Sales,Business Analyst,B.Sc,Bulandshahr,16,39223,27-10-2024, Good ,15,No,246,No
1198,Karan,47,Female, sales ,Sales Executive,MCA,noida,12,131132,03-03-2024,Excellent,13,No,133,No 
1076,Priya,37,Male,HR,Business Analyst,MBA,Delhi,15,43592,29-06-2018,excellent,9,Yes,237,Yes
1178,Ankit,41,Female,HR,Sales Executive,B.Sc,Delhi,15,50371,29-03-2023,Average,10, no ,146,No
1060,Rohit,42, female ,it,Data Scientist,MCA ,Meerut,5,54378,30-09-2017,Good,3,No,248,yes
1094,Amit,51,Female,Finance,HR Executive,bca,Delhi ,4,22895,01-05-2019,Poor,9,Yes,215,No 
1007,Vikas,27,M, sales ,Sales Executive,MBA,Ghaziabad,11,137503,13-04-2015, Good ,6,yes,235,No 
1179,Rahul,53,Female,,Data Analyst,bca,Delhi ,12,75022,15-04-2023, Good ,1,Y,237,Yes
