id,name,age,city,department,salary
1,Rahul,35,Jaipur,HR,127877
2,Anuj,50,Delhi,IT,31521
3,Vikas,51,Hyderabad,Operations,36092
4,Rohit,26,Hyderabad,HR,61376
5,Rohit,20,Delhi,Finance,112952
6,Aman,23,Kolkata,Finance,102158
7,Rahul,37,Kolkata,Operations,85836
8,Simran,20,Bangalore,Marketing,42580
9,Rahul,22,Delhi,Sales,116443
10,Karan,26,Chennai,Finance,75554
11,Priya,33,Hyderabad,HR,91390
12,Anuj,53,Kolkata,HR,41966
13,Anuj,20,Lucknow,IT,140466
14,Rahul,44,Hyderabad,Sales,38180
15,Rohit,53,Hyderabad,Operations,38786
16,Rohit,37,Noida,Operations,98815
17,Simran,51,Hyderabad,HR,69020
18,Karan,50,Chennai,Sales,80941
19,Anuj,41,Mumbai,Marketing,109866
20,Simran,47,Pune,Finance,110988
21,Rohit,41,Lucknow,IT,126306
22,Simran,43,Mumbai,Finance,121370
23,Priya,41,Delhi,Operations,103629
24,Rohit,40,Lucknow,Marketing,144113
25,Pooja,35,Delhi,Marketing,77590
26,Karan,43,Jaipur,Sales,65096
27,Vikas,45,Hyderabad,HR,81887
28,Anuj,44,Hyderabad,Finance,28692
29,Aman,23,Noida,IT,89337
30,Priya,42,Delhi,HR,83929
31,Neha,41,Kolkata,IT,51513
32,Vikas,26,Bangalore,Sales,108327
33,Aman,20,Delhi,HR,66672
34,Rohit,49,Lucknow,IT,102938
35,Neha,45,Noida,Operations,72450
36,Rahul,28,Pune,Sales,76163
37,Rahul,21,Noida,Marketing,116142
38,Priya,27,Noida,HR,129616
39,Rahul,53,Noida,Operations,98784
40,Neha,37,Kolkata,Finance,114895
41,Neha,35,Jaipur,Finance,39689
42,Karan,43,Chennai,Operations,102705
43,Vikas,48,Noida,Sales,132142
44,Anuj,50,Lucknow,Finance,46920
45,Pooja,52,Delhi,HR,44568
46,Simran,46,Mumbai,Marketing,29839
47,Rahul,32,Hyderabad,IT,71412
48,Priya,20,Bangalore,Operations,138419
49,Rahul,40,Kolkata,Finance,131948
50,Simran,21,Chennai,Sales,143171
51,Vikas,43,Delhi,Marketing,135664
52,Karan,22,Mumbai,Operations,40745
53,Neha,40,Mumbai,HR,51824
54,Karan,48,Delhi,Marketing,73286
55,Rohit,34,Chennai,Sales,77595
56,Rahul,51,Lucknow,Operations,56478
57,Anuj,45,Hyderabad,Finance,137129
58,Rohit,25,Pune,Marketing,146563
59,Vikas,42,Hyderabad,IT,120595
60,Rahul,47,Bangalore,Operations,134302
61,Rohit,50,Noida,Finance,99571
62,Rahul,26,Mumbai,Sales,147388
63,Priya,44,Delhi,HR,121800
64,Vikas,38,Noida,Marketing,111887
65,Pooja,32,Mumbai,HR,85235
66,Neha,29,Mumbai,Sales,129474
67,Aman,53,Kolkata,IT,62002
68,Neha,52,Hyderabad,Operations,120762
69,Neha,22,Lucknow,IT,94552
70,Rohit,28,Hyderabad,IT,127555
71,Vikas,51,Delhi,IT,112846
72,Rahul,25,Delhi,Sales,104929
73,Karan,39,Mumbai,Finance,47899
74,Aman,55,Chennai,Marketing,71098
75,Simran,49,Delhi,Marketing,30883
76,Rohit,30,Noida,Finance,31384
77,Aman,48,Hyderabad,Marketing,90010
78,Pooja,27,Noida,HR,71782
79,Priya,50,Hyderabad,IT,38872
80,Vikas,54,Pune,Marketing,80629
81,Simran,35,Mumbai,Operations,86207
82,Rohit,35,Hyderabad,Sales,122911
83,Neha,33,Lucknow,IT,59823
84,Anuj,30,Bangalore,HR,140249
85,Rohit,25,Kolkata,Operations,131230
86,Anuj,26,Lucknow,Marketing,119696
87,Neha,47,Hyderabad,HR,93805
88,Priya,21,Delhi,Sales,79534
89,Vikas,30,Kolkata,Operations,108750
90,Rahul,40,Bangalore,Finance,86981
91,Rohit,44,Delhi,Finance,49790
92,Karan,37,Kolkata,HR,72593
93,Neha,34,Noida,Marketing,95954
94,Rohit,36,Kolkata,Finance,40813
95,Pooja,50,Pune,Finance,97220
96,Priya,27,Mumbai,IT,42133
97,Pooja,28,Kolkata,Sales,120790
98,Aman,54,Lucknow,Finance,39811
99,Vikas,51,Jaipur,HR,89233
100,Aman,25,Delhi,Finance,120281
101,Rohit,41,Hyderabad,Sales,90095
102,Simran,34,Lucknow,IT,59359
103,Simran,24,Hyderabad,Sales,91793
104,Vikas,41,Delhi,Operations,83887
105,Karan,44,Pune,Finance,148715
106,Priya,44,Noida,Sales,61982
107,Karan,55,Delhi,HR,90421
108,Priya,47,Delhi,HR,84130
109,Neha,34,Chennai,Operations,104588
110,Rohit,34,Bangalore,HR,56294
111,Aman,36,Lucknow,Sales,73996
112,Simran,27,Pune,Operations,138156
113,Pooja,38,Bangalore,Marketing,105506
114,Rahul,25,Delhi,HR,146701
115,Anuj,27,Pune,Finance,106651
116,Rahul,25,Lucknow,Marketing,112381
117,Aman,41,Noida,Marketing,113879
118,Aman,32,Delhi,Finance,148879
119,Priya,27,Bangalore,Operations,68659
120,Karan,43,Hyderabad,Operations,110800
121,Rahul,28,Mumbai,Operations,97098
122,Priya,40,Delhi,Sales,65225
123,Priya,44,Pune,Sales,53332
124,Karan,20,Chennai,IT,95391
125,Pooja,39,Delhi,Marketing,55827
126,Simran,23,Jaipur,IT,73869
127,Vikas,54,Lucknow,Operations,75676
128,Simran,32,Bangalore,Sales,104221
129,Anuj,44,Noida,Sales,100849
130,Rahul,47,Noida,Sales,102365
131,Simran,40,Jaipur,HR,86561
132,Vikas,43,Bangalore,Finance,123530
133,Neha,28,Lucknow,Operations,41278
134,Rahul,53,Noida,Finance,48257
135,Vikas,34,Pune,IT,70962
136,Priya,26,Hyderabad,Finance,43952
137,Aman,45,Lucknow,Operations,126321
138,Pooja,20,Lucknow,Operations,29731
139,Anuj,54,Mumbai,IT,135408
140,Vikas,49,Jaipur,Finance,35519
141,Simran,40,Hyderabad,Sales,105168
142,Aman,29,Hyderabad,IT,51233
143,Simran,38,Pune,Finance,33071
144,Rahul,34,Hyderabad,HR,116360
145,Vikas,51,Lucknow,HR,74802
146,Simran,49,Hyderabad,HR,141923
147,Karan,29,Mumbai,Finance,58314
148,Rohit,38,Delhi,Finance,80808
149,Aman,29,Hyderabad,Finance,108940
150,Neha,22,Chennai,Sales,100750
151,Aman,40,Noida,Operations,41133
152,Simran,39,Delhi,Finance,44490
153,Simran,52,Delhi,Sales,75007
154,Anuj,27,Chennai,Finance,131149
155,Karan,37,Kolkata,Sales,89343
156,Neha,50,Lucknow,Finance,39671
157,Pooja,33,Lucknow,Finance,100671
158,Anuj,51,Delhi,Marketing,36671
159,Rahul,38,Delhi,HR,99527
160,Neha,44,Chennai,Operations,80080
161,Vikas,23,Lucknow,IT,101712
162,Rohit,41,Chennai,Marketing,100392
163,Anuj,29,Jaipur,Marketing,49792
164,Rohit,33,Delhi,Marketing,52632
165,Karan,34,Noida,Marketing,73439
166,Rahul,23,Jaipur,Finance,56322
167,Rahul,31,Chennai,Finance,113898
168,Pooja,51,Kolkata,HR,29924
169,Rahul,45,Kolkata,Finance,52903
170,Simran,39,Bangalore,HR,107197
171,Aman,30,Delhi,Marketing,35001
172,Aman,21,Pune,HR,57154
173,Pooja,55,Kolkata,Operations,125224
174,Simran,45,Jaipur,HR,97759
175,Aman,41,Bangalore,Operations,87703
176,Vikas,47,Mumbai,Sales,97982
177,Simran,50,Pune,HR,53409
178,Karan,42,Pune,Marketing,30191
179,Priya,45,Lucknow,Operations,67065
180,Rohit,45,Bangalore,HR,109068
181,Simran,24,Bangalore,Sales,76552
182,Rohit,53,Lucknow,Marketing,94516
183,Vikas,38,Hyderabad,HR,42380
184,Priya,38,Pune,Sales,92580
185,Neha,32,Delhi,Finance,129574
186,Pooja,55,Delhi,Operations,121736
187,Simran,45,Chennai,Finance,119856
188,Pooja,26,Kolkata,HR,127619
189,Rahul,28,Kolkata,IT,87579
190,Rohit,40,Chennai,Sales,74009
191,Rohit,23,Mumbai,Finance,55427
192,Rahul,39,Hyderabad,Finance,55857
193,Neha,49,Hyderabad,Finance,68178
194,Anuj,30,Delhi,Finance,135507
195,Karan,28,Pune,Marketing,68448
196,Simran,48,Mumbai,Finance,48322
197,Rohit,50,Hyderabad,HR,80512
198,Karan,38,Delhi,IT,115380
199,Rohit,29,Noida,HR,47500
200,Anuj,33,Kolkata,Sales,31981
201,Rahul,33,Pune,IT,42793
202,Anuj,32,Chennai,Finance,103410
203,Rohit,20,Hyderabad,Finance,113543
204,Rahul,43,Bangalore,Finance,61276
205,Anuj,26,Mumbai,HR,126653
206,Neha,29,Chennai,IT,96940
207,Rahul,44,Mumbai,HR,89351
208,Simran,47,Bangalore,Marketing,58237
209,Rohit,30,Noida,Finance,87921
210,Vikas,23,Kolkata,HR,91083
211,Pooja,26,Jaipur,Sales,41238
212,Rohit,42,Bangalore,HR,39907
213,Simran,50,Mumbai,IT,49418
214,Aman,31,Lucknow,IT,98207
215,Karan,23,Delhi,HR,45662
216,Karan,27,Mumbai,Finance,77852
217,Pooja,52,Lucknow,Sales,102449
218,Rohit,41,Mumbai,Operations,137000
219,Pooja,47,Pune,Sales,112091
220,Priya,29,Pune,IT,102232
221,Rohit,45,Bangalore,Marketing,50816
222,Rahul,35,Hyderabad,Marketing,63061
223,Rahul,22,Noida,IT,122780
224,Priya,27,Noida,IT,73285
225,Neha,35,Delhi,Operations,41019
226,Priya,45,Delhi,Operations,84252
227,Priya,51,Lucknow,IT,55245
228,Pooja,39,Delhi,Marketing,99787
229,Anuj,31,Chennai,HR,46653
230,Rahul,44,Delhi,Operations,129941
231,Anuj,25,Hyderabad,IT,41716
232,Priya,49,Pune,Finance,43015
233,Neha,44,Delhi,HR,100891
234,Rahul,37,Jaipur,Finance,53970
235,Rohit,48,Jaipur,HR,35840
236,Rohit,43,Chennai,Operations,82736
237,Rohit,20,Jaipur,Marketing,109513
238,Simran,27,Bangalore,Sales,85304
239,Pooja,27,Pune,Sales,91936
240,Aman,25,Delhi,Operations,81557
241,Priya,27,Mumbai,HR,68993
242,Aman,51,Noida,Operations,143707
243,Vikas,52,Noida,HR,147251
244,Pooja,34,Chennai,HR,26058
245,Rohit,21,Chennai,Sales,128968
246,Rahul,50,Kolkata,Marketing,57020
247,Pooja,37,Pune,HR,99404
248,Simran,26,Mumbai,Operations,110330
249,Rahul,31,Lucknow,Operations,61294
250,Anuj,44,Delhi,Finance,114870
251,Simran,50,Bangalore,HR,119531
252,Anuj,47,Hyderabad,Sales,131314
253,Rahul,39,Kolkata,HR,135623
254,Rohit,28,Hyderabad,Sales,82590
255,Aman,26,Lucknow,Sales,73958
256,Priya,40,Jaipur,Operations,134641
257,Pooja,24,Jaipur,Sales,124357
258,Pooja,54,Kolkata,Finance,109432
259,Rohit,31,Hyderabad,Finance,109983
260,Priya,45,Lucknow,IT,32271
261,Anuj,21,Mumbai,Operations,66453
262,Aman,45,Noida,Operations,67684
263,Priya,55,Mumbai,Operations,88223
264,Anuj,54,Lucknow,IT,115796
265,Priya,53,Lucknow,IT,111529
266,Vikas,51,Chennai,HR,89873
267,Pooja,24,Bangalore,Finance,119997
268,Vikas,53,Mumbai,IT,88244
269,Priya,54,Chennai,Marketing,127363
270,Simran,27,Delhi,Operations,135759
271,Pooja,33,Pune,IT,98733
272,Aman,27,Pune,IT,35338
273,Rohit,31,Chennai,IT,85120
274,Vikas,31,Mumbai,Operations,64407
275,Rohit,20,Delhi,Sales,51717
276,Anuj,55,Mumbai,HR,34720
277,Karan,48,Kolkata,Marketing,144882
278,Simran,40,Hyderabad,Operations,41454
279,Anuj,27,Hyderabad,HR,112728
280,Neha,22,Jaipur,Finance,64487
281,Anuj,28,Mumbai,IT,52745
282,Anuj,33,Noida,IT,64558
283,Karan,30,Bangalore,Marketing,108982
284,Pooja,25,Kolkata,Operations,66846
285,Simran,55,Kolkata,Marketing,52052
286,Simran,36,Delhi,Marketing,70841
287,Aman,22,Lucknow,Marketing,57458
288,Anuj,25,Mumbai,Marketing,90916
289,Simran,27,Delhi,Operations,146240
290,Rahul,52,Kolkata,Finance,116182
291,Aman,39,Noida,HR,35025
292,Rahul,43,Noida,IT,34005
293,Karan,54,Hyderabad,IT,115431
294,Rahul,30,Mumbai,Marketing,68309
295,Rohit,47,Pune,IT,89874
296,Priya,20,Jaipur,Operations,71100
297,Rahul,35,Delhi,HR,29149
